パドメ	0.160462
アナキン	0.145016
ザム	0.140151
ワン	0.125556
オビ	0.120346
クローン	0.0934337
カミーノ	0.0934337
賞金稼ぎ	0.0802309
共和国	0.0725078
スカイウォーカー	0.0725078
計らう	0.0467169
ため惑星	0.0467169
単独任務	0.0467169
任せる	0.0467169
ボディーガード	0.0467169
愛し合う	0.0467169
数千	0.0467169
掟	0.0467169
星系	0.0467169
頃オビ	0.0467169
クローン軍	0.0467169
視察	0.0467169
ホスト	0.0467169
情勢不安定	0.0467169
ジャンゴ	0.0467169
フェット	0.0467169
聞き出す	0.0467169
母シミ	0.0467169
元老員議員	0.0467169
暗殺計画	0.0467169
殺す	0.0406226
10年後	0.0401155
事情	0.0401155
禁じる	0.0401155
アミダラ	0.0401155
パルパティーン最高議長	0.0401155
エピソード1	0.0401155
エピソード2	0.0401155
事	0.0377644
コルサント	0.0362539
護衛	0.0362539
ケノービ	0.0362539
離脱	0.0362539
苦しむ	0.0362539
発覚	0.0362539
銀河系	0.0335141
ジェダイ	0.0335141
彼方	0.0335141
ウォーズ	0.0335141
/	0.0313889
スター	0.0313889
惑星	0.0296525
夢	0.0296525
逃げる	0.0269127
探す	0.025791
昔	0.025791
守る	0.0238798
作る	0.0230511
狙う	0.0222888
攻撃	0.021583
成功	0.0209259
彼女	0.0177215
見る	0.0164497
られる	0.0164233
姿	0.0156874
向かう	0.0149816
それ	0.0146474
しまう	0.0109436
なる	0.0103423
よう	0.0102537
ため	0.00908601
いる	0.00256362
れる	0.00240288
する	0.000354046
